iter,loss,loss_lb,loss_ulb,loss_consist,loss_conflict,cons_w,high_r,conflict_r,lr,n_consist,n_conflict,n_from_student
1,44.81672668457031,44.6746940612793,42.15876388549805,42.15876388549805,0.0,0.0033689734995427335,1.0,0.0,0.01,81,0,0
2,54.09344482421875,53.91340637207031,53.44014358520508,38.00188064575195,15.438264846801758,0.0033689734995427335,0.75,0.2888889014720917,0.009999699999499994,64,26,3
3,59.88776779174805,59.75006103515625,40.87479782104492,24.457870483398438,16.416927337646484,0.0033689734995427335,1.0,0.40163934230804443,0.009999399997999951,292,196,11
4,46.86225509643555,46.70361328125,47.08888244628906,10.9066162109375,36.18226623535156,0.0033689734995427335,1.0,0.7683823704719543,0.009999099995499834,63,209,2
5,39.20582580566406,39.065895080566406,41.534889221191406,14.909960746765137,26.624929428100586,0.0033689734995427335,0.75,0.6410256624221802,0.009998799991999608,56,100,5
6,27.19441032409668,27.057676315307617,40.58651351928711,5.9586968421936035,40.636356353759766,0.0033689734995427335,0.75,0.8721174001693726,0.009998499987499236,61,416,2
7,42.662071228027344,42.491798400878906,50.541847229003906,4.130824089050293,46.4110221862793,0.0033689734995427335,1.0,0.9182692170143127,0.00999819998199868,17,191,2
8,32.28133773803711,32.11902618408203,48.17853927612305,3.461265802383423,50.57293701171875,0.0033689734995427335,1.0,0.935943067073822,0.009997899975497904,54,789,4
9,28.85112762451172,28.719440460205078,39.08802795410156,2.0208775997161865,37.0671501159668,0.0033689734995427335,1.0,0.9482993483543396,0.009997599967996871,38,697,4
10,28.405654907226562,28.29204559326172,33.72210693359375,1.3070584535598755,32.41504669189453,0.0033689734995427335,0.5,0.961240291595459,0.009997299959495545,5,124,0
11,32.639076232910156,32.55771255493164,24.150428771972656,0.4312576651573181,23.71917152404785,0.0033689734995427335,0.5,0.9821428656578064,0.009996999949993889,2,110,0
12,30.70660972595215,30.59427833557129,33.34288787841797,0.0,33.34288787841797,0.0033689734995427335,0.0,1.0,0.009996699939491866,0,190,0
13,33.19965744018555,33.09690475463867,30.4992618560791,0.0,30.4992618560791,0.0033689734995427335,0.0,1.0,0.009996399927989438,0,137,0
14,31.576438903808594,31.47655487060547,29.648035049438477,0.0,29.648035049438477,0.0033689734995427335,0.0,1.0,0.009996099915486572,0,240,0
15,28.388456344604492,28.283029556274414,31.293228149414062,0.0,31.293228149414062,0.0033689734995427335,0.0,1.0,0.009995799901983227,0,139,0
16,34.28846740722656,34.19114685058594,28.887784957885742,0.0,28.887784957885742,0.0033689734995427335,0.0,1.0,0.009995499887479371,0,279,0
17,34.80384826660156,34.69462585449219,32.419960021972656,0.0,32.419960021972656,0.0033689734995427335,0.0,1.0,0.00999519987197496,0,152,0
18,27.601675033569336,27.505340576171875,28.59478759765625,0.0,28.59478759765625,0.0033689734995427335,0.0,1.0,0.009994899855469967,0,255,0
19,28.812236785888672,28.683753967285156,38.13700485229492,0.0,38.13700485229492,0.0033689734995427335,0.0,1.0,0.009994599837964349,0,98,0
20,30.525646209716797,30.40201187133789,36.69816589355469,0.0,36.69816589355469,0.0033689734995427335,0.0,1.0,0.00999429981945807,0,225,0
21,26.04277992248535,25.958105087280273,25.13393211364746,0.0,25.13393211364746,0.0033689734995427335,0.0,1.0,0.009993999799951093,0,208,0
