epoch,loss_lb,loss_ub,Precision_stu,Recall_stu,mAP50_stu,mAP50-95_stu,Precision_tea,Recall_tea,mAP50_tea,mAP50-95_tea,best_mAP50,best_mAP50_stu
0,35.878578186035156,0.0,0.5161396330035096,0.5447654435633584,0.477402306665539,0.18964242826386812,0.5161396330035096,0.5447654435633584,0.477402306665539,0.18964242826386812,0.477402306665539,0.477402306665539
1,31.85692310333252,0.0,0.5464494010501273,0.5168892929858351,0.47568213881533494,0.18554239119804644,0.5464494010501273,0.5168892929858351,0.47568213881533494,0.18554239119804644,0.477402306665539,0.477402306665539
2,31.293208122253418,0.0,0.6064114843578707,0.5229535109652191,0.5091164251666371,0.21793165019806363,0.6064114843578707,0.5229535109652191,0.5091164251666371,0.21793165019806363,0.5091164251666371,0.5091164251666371
3,29.80093984603882,0.0,0.5837198013562472,0.5115619946822064,0.4769218809107093,0.20174735717437833,0.5837198013562472,0.5115619946822064,0.4769218809107093,0.20174735717437833,0.5091164251666371,0.5091164251666371
4,27.870156478881835,0.0,0.6282067479336108,0.5227423846914847,0.51483824254293,0.22707404099229547,0.6282067479336108,0.5227423846914847,0.51483824254293,0.22707404099229547,0.51483824254293,0.51483824254293
5,27.806083106994627,0.0,0.6046081662470411,0.533276790319793,0.5044679145192487,0.22179139515691318,0.6046081662470411,0.533276790319793,0.5044679145192487,0.22179139515691318,0.51483824254293,0.51483824254293
6,26.418388175964356,0.0,0.598446075862688,0.5267378078621483,0.5046198699485684,0.22332065687986263,0.598446075862688,0.5267378078621483,0.5046198699485684,0.22332065687986263,0.51483824254293,0.51483824254293
7,25.3131160736084,0.0,0.5983244140852021,0.509077351220016,0.4811177093866242,0.2099542395148292,0.5983244140852021,0.509077351220016,0.4811177093866242,0.2099542395148292,0.51483824254293,0.51483824254293
8,24.39911060333252,0.0,0.6106816022009525,0.5154205767495236,0.4804568361658984,0.21115973873458582,0.6106816022009525,0.5154205767495236,0.4804568361658984,0.21115973873458582,0.51483824254293,0.51483824254293
9,23.82949504852295,0.0,0.5760678417978679,0.535374840812677,0.4784359589614682,0.21113478247314865,0.5760678417978679,0.535374840812677,0.4784359589614682,0.21113478247314865,0.51483824254293,0.51483824254293
10,24.54707040786743,27.209104824066163,0.5925762259937524,0.5373731927874088,0.5047436511688966,0.22752340812556077,0.6286770342537695,0.5286108457427316,0.5143592271832429,0.23543789644768826,0.51483824254293,0.51483824254293
11,25.458338832855226,28.288316345214845,0.6022600231834992,0.5164644788807665,0.49423794592619563,0.21057460912416054,0.6188626367857696,0.5482197039864037,0.5232614001018847,0.2396500296410181,0.5232614001018847,0.51483824254293
12,24.587281227111816,25.881141662597656,0.6260600599496129,0.5364648509807125,0.5225720090302775,0.23665665381682738,0.6416327405814726,0.5397310391484196,0.5266621326874306,0.24108844658955478,0.5266621326874306,0.5225720090302775
13,24.28600025177002,24.638278102874757,0.6016400176845739,0.5280171710643218,0.4994835969745546,0.21966343359102095,0.6331129331826624,0.5500274221481978,0.5291477853747223,0.2425137801253868,0.5291477853747223,0.5225720090302775
14,24.022964096069337,25.831587505340575,0.5916743538873468,0.5692859536854208,0.521521625650412,0.23602510597357526,0.6386765792047726,0.5445133323680306,0.5306261714567644,0.2441382499080132,0.5306261714567644,0.5225720090302775
15,23.76191062927246,23.928319263458253,0.6193744392906568,0.5359608308182882,0.5151688305048112,0.23021397465748583,0.637612906342076,0.5448856345423077,0.5297254690869653,0.24389556681629504,0.5306261714567644,0.5225720090302775
16,23.77005786895752,24.67625856399536,0.6095412234552615,0.5593439419567227,0.5227526653388063,0.23199815409222393,0.6397982018825644,0.5441794535577473,0.53167414447577,0.24554589334523597,0.53167414447577,0.5227526653388063
17,23.47243204116821,23.98391513824463,0.6343442973856797,0.5499021080540494,0.5311589000611472,0.23599024004123384,0.6279652536535902,0.5574273575969462,0.5334208600779571,0.24591544871239143,0.5334208600779571,0.5311589000611472
