epoch,loss_lb,loss_ub,Precision_stu,Recall_stu,mAP50_stu,mAP50-95_stu,Precision_tea,Recall_tea,mAP50_tea,mAP50-95_tea,best_mAP50,best_mAP50_stu
0,15.486114168167115,15.715793371200562,0.47928419876897077,0.44116991997963695,0.36740386344758114,0.14305655640765796,0.4770094472808374,0.44486092225241264,0.3681713246080202,0.14038522518365934,0.3681713246080202,0.36740386344758114
1,14.645573329925536,15.516985177993774,0.46721470118407155,0.4639580756608616,0.3728074200808428,0.14549783520523013,0.46604784632953644,0.45990373666540746,0.373967623449546,0.14542975449694667,0.373967623449546,0.3728074200808428
2,14.612606191635132,14.694337224960327,0.4734738072686838,0.4667138397721454,0.38141261977201935,0.15103899700491136,0.491443877673588,0.4472571919774173,0.37786248764029157,0.14871957809352462,0.37786248764029157,0.38141261977201935
3,14.606851434707641,14.624737167358399,0.4823850319940737,0.47164834344070034,0.3932174031359335,0.15498380780161197,0.49012462839164106,0.45956729629752463,0.3871920657612049,0.15246237473027657,0.3871920657612049,0.3932174031359335
4,14.40376706123352,14.025625944137573,0.4752339774981539,0.47972372118281403,0.39628589098826317,0.15744383707513127,0.49699307806475285,0.45693684628038916,0.3921058324003057,0.1549711265876177,0.3921058324003057,0.39628589098826317
5,14.514098072052002,14.158726024627686,0.48335925409258784,0.4694452690862331,0.39976529886860457,0.16182160376695442,0.47444171062645984,0.47698076485952823,0.39571572172742797,0.1580197425342083,0.39571572172742797,0.39976529886860457
6,14.086143827438354,14.90987000465393,0.47377731753230956,0.4920722488669152,0.4045913189516164,0.16278294382360992,0.47955773255313927,0.47718164490286435,0.3983685591754963,0.15952790154973123,0.3983685591754963,0.4045913189516164
7,14.267929553985596,14.139090299606323,0.501255699166965,0.4603259892128765,0.3977966296499996,0.16235850953887765,0.48993760279468224,0.467771830470186,0.4013183838606019,0.16117122018401303,0.4013183838606019,0.4045913189516164
8,14.384227180480957,14.467587995529176,0.5001980154896956,0.4606598680231597,0.40157614712465983,0.1656080491040602,0.5002006891394756,0.46153875191746074,0.40166455105132387,0.16204393715234428,0.40166455105132387,0.4045913189516164
9,14.212837886810302,14.770088148117065,0.5001122692359601,0.46964486835076946,0.40501688405575476,0.16644195366883513,0.5030315490526089,0.4616884008088051,0.40220931995074716,0.1635381969579912,0.40220931995074716,0.40501688405575476
10,13.794290399551391,13.920281457901002,0.4994710879300655,0.4710854074534855,0.406872261600831,0.16761449837466164,0.49884245401509547,0.4705839488486607,0.4046673890830008,0.16542334012521112,0.4046673890830008,0.406872261600831
11,13.844772434234619,14.346657037734985,0.4902308122453489,0.4773082397758125,0.4073296859565975,0.16929923651598328,0.5011534545300269,0.46950290413222384,0.4038916123631826,0.16679448181558484,0.4046673890830008,0.4073296859565975
12,14.00034565925598,13.814570760726928,0.484917187452675,0.475069303614951,0.4035598996927867,0.16707426273201206,0.5068770315232107,0.4652937931302261,0.40506481238467607,0.16710409793456477,0.40506481238467607,0.4073296859565975
13,14.100554990768433,14.003773164749145,0.49847721325700556,0.4687493343320712,0.40464277558877537,0.1686278396902759,0.4906616217637032,0.4703062220773369,0.4039308929960853,0.16754471203234228,0.40506481238467607,0.4073296859565975
14,13.569181394577026,13.828302049636841,0.5174723376578808,0.45687941346262995,0.4045891766904217,0.16785831189155292,0.4977571976744612,0.4651926116050423,0.4053577797274647,0.16753741331073935,0.4053577797274647,0.4073296859565975
15,13.946825551986695,14.23340630531311,0.5109019191540736,0.46452485398447585,0.40663174328408563,0.17042439973209628,0.4973608469380958,0.46465529119382337,0.4048875817267511,0.1686603020611096,0.4053577797274647,0.4073296859565975
16,13.704826593399048,13.963022232055664,0.5326659436848272,0.4498633071973567,0.4076337793369834,0.1709316211211067,0.4865698512071218,0.47358393725424214,0.40441741462799347,0.1691901081500387,0.4053577797274647,0.4076337793369834
17,13.655943393707275,13.568559074401856,0.526459720157519,0.4474337372235574,0.40523774817749664,0.17154707025502655,0.5349578612876486,0.4382837186590057,0.402438267105283,0.16898754274470812,0.4053577797274647,0.4076337793369834
18,14.017700052261352,13.741292238235474,0.5248666767903638,0.4553376928347302,0.4066885096670084,0.17076265294108714,0.4989350991206596,0.46372133381113123,0.40247579921557775,0.16963884482020514,0.4053577797274647,0.4076337793369834
19,13.539852905273438,13.9771493434906,0.47913468895638667,0.4844919258356273,0.40444040975957607,0.17172978555508728,0.5013606258028793,0.46114851883998653,0.4011213947737977,0.16955045605920754,0.4053577797274647,0.4076337793369834
20,13.609816646575927,13.403533458709717,0.524341137182684,0.4520138696210324,0.4072525765112007,0.16957293017061636,0.50779777820219,0.4615528404842584,0.40253513434765076,0.17009964737465405,0.4053577797274647,0.4076337793369834
21,13.443331623077393,13.756884956359864,0.5174825818554049,0.4558929441491463,0.4031685181251581,0.16945557715021847,0.5107306818719192,0.4597131028524697,0.4013671187319693,0.16900041466227494,0.4053577797274647,0.4076337793369834
22,13.313366317749024,14.03666877746582,0.49309859602817485,0.46925847760969464,0.40073419042587655,0.1692078006352,0.508077440382233,0.4591642554320525,0.40029912572606896,0.1682619391628793,0.4053577797274647,0.4076337793369834
23,13.199118947982788,13.776715612411499,0.5284589771642175,0.4538805036076168,0.40397351649562524,0.1696213301904994,0.5092575024545646,0.45953399604873,0.4016027368267311,0.16897598654082194,0.4053577797274647,0.4076337793369834
24,13.650848054885865,13.729517412185668,0.4879615578459988,0.4749363048480039,0.4015496510286848,0.16974672653397846,0.5082331225073069,0.46287190782922555,0.4022704994133031,0.1691774257175033,0.4053577797274647,0.4076337793369834
25,13.839768934249879,13.810600185394287,0.5146449004172582,0.46414102480100067,0.40861877960751863,0.17230663439453492,0.5164670945492864,0.4580972992824134,0.404357809624804,0.1701280405812114,0.4053577797274647,0.40861877960751863
26,13.531278133392334,14.210155391693116,0.5021861395587187,0.46849338080034386,0.4069070440208248,0.17145480099635033,0.5106535819279568,0.46619060792772415,0.40345489938199297,0.16979048419874207,0.4053577797274647,0.40861877960751863
27,13.24267611503601,13.78333740234375,0.5038172356389665,0.4705378408118681,0.40612527582254276,0.1717380004155426,0.48086448818156136,0.4888916706505628,0.40381771473698724,0.16977940575501413,0.4053577797274647,0.40861877960751863
28,13.364265060424804,13.405138206481933,0.5126117390243974,0.46207222999228026,0.406225970416582,0.1723977635339315,0.4814390970391963,0.48629195932462244,0.4035676897363348,0.17012485921807088,0.4053577797274647,0.40861877960751863
29,13.223472547531127,13.679509353637695,0.5028966243900985,0.4664527631252189,0.40456827668630646,0.1703014596964933,0.4851021006611218,0.48390721660881586,0.4039747655038527,0.17022657751490392,0.4053577797274647,0.40861877960751863
30,13.393603992462157,13.789767217636108,0.48354177941585064,0.48337245775519655,0.39983103171955925,0.16840366345857444,0.488036179441808,0.48025848003643345,0.40367670386151777,0.1701236649700688,0.4053577797274647,0.40861877960751863
31,13.409021234512329,13.781892251968383,0.507702109341369,0.46484720578556094,0.40580834745133104,0.170942878535089,0.5016828266627785,0.46761577768484264,0.40385823660002546,0.16966311513855686,0.4053577797274647,0.40861877960751863
32,13.290644454956055,13.236940479278564,0.5024897278573139,0.4653947724271783,0.40502540237887796,0.1715448807336394,0.51176127229347,0.46080311302050514,0.40565860659701136,0.17078057544153374,0.40565860659701136,0.40861877960751863
33,13.37009892463684,13.435871744155884,0.5103455273131412,0.46269664336188526,0.40249166576269674,0.1694049517852072,0.4913303661807966,0.47433238393919563,0.40447456573655594,0.1700136742632496,0.40565860659701136,0.40861877960751863
34,13.493004989624023,13.736741161346435,0.5003464931890257,0.46900764719316657,0.4058656358089705,0.1712793245341957,0.48616901723058115,0.4820969368894224,0.40389016820862433,0.1698719822590697,0.40565860659701136,0.40861877960751863
35,13.572147417068482,13.833421182632446,0.5031328175814279,0.4669849604212387,0.4046639923981884,0.17155371560813393,0.507681890578638,0.46167943535720646,0.4052255475473106,0.1704002070577429,0.40565860659701136,0.40861877960751863
36,13.197296810150146,14.162948036193848,0.5245153567246057,0.45087647063740455,0.4071917240212944,0.17217687189784864,0.5163304269264535,0.4541874860631044,0.4044877027231114,0.17001789699062123,0.40565860659701136,0.40861877960751863
37,13.317962598800658,13.249783420562744,0.4977662143965874,0.46760937379084366,0.40119528282553635,0.17045485910701424,0.5074907267420636,0.46131225629812866,0.4043940046184811,0.16997729518475363,0.40565860659701136,0.40861877960751863
