iter,loss,loss_lb,loss_ulb,loss_consist,loss_conflict,cons_w,high_r,conflict_r,lr,n_consist,n_conflict,n_from_student
1,47.55586624145508,47.41545104980469,41.67900848388672,41.67900848388672,0.0,0.0033689734995427335,1.0,0.0,0.01,78,0,0
2,57.10634994506836,56.94044494628906,49.24549865722656,31.68840789794922,17.557090759277344,0.0033689734995427335,0.75,0.35652172565460205,0.009999699999499994,74,41,7
3,43.24675369262695,43.10209274291992,42.93894577026367,14.104033470153809,28.83491325378418,0.0033689734995427335,1.0,0.6715328693389893,0.009999399997999951,90,184,7
4,45.935794830322266,45.792633056640625,42.49455642700195,10.143861770629883,32.35069274902344,0.0033689734995427335,1.0,0.7612903118133545,0.009999099995499834,37,118,1
5,38.301334381103516,38.175025939941406,37.49144744873047,6.703768730163574,30.787677764892578,0.0033689734995427335,0.75,0.8211920261383057,0.009998799991999608,27,124,2
6,28.192317962646484,28.06653594970703,37.33543395996094,8.796306610107422,28.539127349853516,0.0033689734995427335,0.5,0.764397919178009,0.009998499987499236,45,146,3
7,46.64238357543945,46.490196228027344,45.17315673828125,4.910125732421875,40.263031005859375,0.0033689734995427335,0.75,0.8913043737411499,0.00999819998199868,10,82,0
8,29.887231826782227,29.736957550048828,44.605438232421875,3.2446305751800537,42.991355895996094,0.0033689734995427335,0.75,0.9298245906829834,0.009997899975497904,24,318,1
9,29.496829986572266,29.393226623535156,30.752304077148438,2.8288469314575195,27.9234561920166,0.0033689734995427335,1.0,0.9080118536949158,0.009997599967996871,31,306,3
10,26.24433708190918,26.132781982421875,33.11241149902344,1.8179363012313843,31.294475555419922,0.0033689734995427335,0.75,0.9450980424880981,0.009997299959495545,14,241,2
11,32.95215606689453,32.85271072387695,29.518173217773438,1.3623772859573364,28.15579605102539,0.0033689734995427335,0.75,0.9538461565971375,0.009996999949993889,6,124,0
12,32.06003189086914,31.944576263427734,34.27029800415039,0.6590442061424255,33.61125183105469,0.0033689734995427335,0.5,0.9807692170143127,0.009996699939491866,5,255,0
13,33.43654251098633,33.326934814453125,32.53464889526367,0.944989800453186,31.589658737182617,0.0033689734995427335,0.75,0.9709543585777283,0.009996399927989438,7,234,0
14,32.06853103637695,31.9565486907959,33.23923110961914,0.49983808398246765,32.7393913269043,0.0033689734995427335,0.5,0.9849624037742615,0.009996099915486572,4,262,0
15,29.351558685302734,29.233367919921875,35.08229064941406,0.0,35.08229064941406,0.0033689734995427335,0.0,1.0,0.009995799901983227,0,105,0
16,33.69890213012695,33.58992004394531,32.348854064941406,0.0,32.348854064941406,0.0033689734995427335,0.0,1.0,0.009995499887479371,0,218,0
17,30.108566284179688,29.983932495117188,36.994571685791016,0.0,36.994571685791016,0.0033689734995427335,0.0,1.0,0.00999519987197496,0,166,0
18,27.995546340942383,27.889606475830078,31.44597816467285,0.0,31.44597816467285,0.0033689734995427335,0.0,1.0,0.009994899855469967,0,132,0
19,28.330978393554688,28.20954132080078,36.04545211791992,0.706773579120636,35.338680267333984,0.0033689734995427335,0.25,0.9803921580314636,0.009994599837964349,4,200,0
20,30.209266662597656,30.083852767944336,37.22608184814453,0.5112196207046509,36.71486282348633,0.0033689734995427335,0.75,0.9862671494483948,0.00999429981945807,11,790,0
21,25.550134658813477,25.452930450439453,28.85285186767578,0.6980528235435486,28.154800415039062,0.0033689734995427335,0.75,0.975806474685669,0.009993999799951093,18,726,0
22,25.17197036743164,25.066207885742188,31.393020629882812,1.3096961975097656,30.083324432373047,0.0033689734995427335,0.75,0.9582806825637817,0.009993699779443383,33,758,1
23,44.2559814453125,44.14131164550781,34.03701400756836,1.163658618927002,32.873355865478516,0.0033689734995427335,0.5,0.9658119678497314,0.009993399757934904,28,791,0
24,28.942310333251953,28.799423217773438,42.412445068359375,1.2539331912994385,41.158512115478516,0.0033689734995427335,0.75,0.9704347848892212,0.009993099735425616,17,558,0
25,27.13920783996582,27.014114379882812,37.13127136230469,37.13127136230469,0.0,0.0033689734995427335,1.0,0.0,0.009992799711915485,1241,0,0
26,33.03076934814453,32.898746490478516,39.18818664550781,39.18818664550781,0.0,0.0033689734995427335,1.0,0.0,0.009992499687404472,1230,0,138
27,31.057605743408203,30.926483154296875,38.920799255371094,38.920799255371094,0.0,0.0033689734995427335,1.0,0.0,0.009992199661892543,1718,0,64
28,26.030956268310547,25.90007209777832,38.8501091003418,39.570335388183594,0.0,0.0033689734995427335,1.0,0.0,0.009991899635379659,1353,0,53
29,28.16691017150879,28.037391662597656,38.444644927978516,38.444644927978516,0.0,0.0033689734995427335,1.0,0.0,0.009991599607865784,1059,0,37
30,27.276458740234375,27.152313232421875,36.84992980957031,36.84992980957031,0.0,0.0033689734995427335,1.0,0.0,0.00999129957935088,1333,0,42
31,26.94048500061035,26.819374084472656,35.94876480102539,35.94876480102539,0.0,0.0033689734995427335,1.0,0.0,0.009990999549834914,862,0,34
32,28.893518447875977,28.78152084350586,33.243812561035156,33.243812561035156,0.0,0.0033689734995427335,1.0,0.0,0.009990699519317844,512,0,33
33,25.19513511657715,25.07984733581543,34.220664978027344,34.220664978027344,0.0,0.0033689734995427335,1.0,0.0,0.00999039948779964,1562,0,34
34,32.30126190185547,32.19265365600586,32.23804473876953,32.23804473876953,0.0,0.0033689734995427335,1.0,0.0,0.009990099455280258,1197,0,41
35,28.038776397705078,27.90825653076172,38.741973876953125,38.741973876953125,0.0,0.0033689734995427335,1.0,0.0,0.009989799421759666,1472,0,26
36,24.98320960998535,24.863882064819336,35.419803619384766,35.419803619384766,0.0,0.0033689734995427335,1.0,0.0,0.009989499387237826,1439,0,35
37,29.834732055664062,29.70178985595703,39.4605712890625,39.4605712890625,0.0,0.0033689734995427335,1.0,0.0,0.009989199351714701,1115,0,11
38,27.718870162963867,27.599483489990234,35.437049865722656,35.437049865722656,0.0,0.0033689734995427335,1.0,0.0,0.009988899315190255,962,0,11
39,25.834888458251953,25.704988479614258,38.5574836730957,38.65473556518555,0.0,0.0033689734995427335,1.0,0.0,0.009988599277664448,611,0,4
40,25.24803924560547,25.124347686767578,36.71473693847656,36.71473693847656,0.0,0.0033689734995427335,1.0,0.0,0.009988299239137247,856,0,4
41,27.693866729736328,27.57851791381836,34.23832702636719,34.23832702636719,0.0,0.0033689734995427335,1.0,0.0,0.009987999199608615,1500,0,92
42,23.519155502319336,23.40089988708496,35.101348876953125,36.073036193847656,0.0,0.0033689734995427335,1.0,0.0,0.009987699159078513,1281,0,29
43,22.997051239013672,22.883934020996094,33.57609558105469,33.57609558105469,0.0,0.0033689734995427335,1.0,0.0,0.009987399117546907,514,0,58
44,27.44281768798828,27.34164810180664,30.029521942138672,30.029521942138672,0.0,0.0033689734995427335,1.0,0.0,0.009987099075013758,1111,0,149
45,31.000885009765625,30.896228790283203,31.0649471282959,31.0649471282959,0.0,0.0033689734995427335,1.0,0.0,0.00998679903147903,838,0,95
46,28.221969604492188,28.123735427856445,29.158262252807617,29.158262252807617,0.0,0.0033689734995427335,1.0,0.0,0.009986498986942687,1754,0,201
47,27.35745620727539,27.253456115722656,30.869857788085938,30.869857788085938,0.0,0.0033689734995427335,1.0,0.0,0.00998619894140469,1736,0,191
48,29.453861236572266,29.351852416992188,30.278718948364258,30.278718948364258,0.0,0.0033689734995427335,1.0,0.0,0.009985898894865003,1263,0,131
49,28.361867904663086,28.236434936523438,37.23183059692383,37.23183059692383,0.0,0.0033689734995427335,1.0,0.0,0.009985598847323592,481,0,23
50,28.67777442932129,28.570363998413086,31.882022857666016,31.882022857666016,0.0,0.0033689734995427335,1.0,0.0,0.009985298798780417,1976,0,196
51,26.06245231628418,25.940505981445312,36.19689178466797,1.9885234832763672,34.208370208740234,0.0033689734995427335,0.75,0.9450637102127075,0.009984998749235443,69,1187,106
52,26.207122802734375,26.12955093383789,23.02523422241211,16.146696090698242,6.878537178039551,0.0033689734995427335,1.0,0.29873907566070557,0.00998469869868863,723,308,52
53,25.36178207397461,25.24011993408203,36.11227798461914,13.728633880615234,22.383644104003906,0.0033689734995427335,1.0,0.6198347210884094,0.009984398647139946,230,375,15
54,29.000940322875977,28.891681671142578,32.430946350097656,14.588007926940918,17.842937469482422,0.0033689734995427335,1.0,0.5501824617385864,0.009984098594589352,493,603,62
55,24.550504684448242,24.45574188232422,28.128015518188477,8.659859657287598,19.468156814575195,0.0033689734995427335,1.0,0.6921269297599792,0.00998379854103681,262,589,34
56,26.675119400024414,26.568775177001953,31.56551742553711,4.404051303863525,27.161466598510742,0.0033689734995427335,1.0,0.8604790568351746,0.009983498486482284,233,1437,57
57,23.29009437561035,23.18231201171875,31.992626190185547,3.0514862537384033,28.94114112854004,0.0033689734995427335,1.0,0.9046190977096558,0.009983198430925738,159,1508,58
58,23.84763526916504,23.74291229248047,31.084285736083984,3.3861706256866455,27.698116302490234,0.0033689734995427335,1.0,0.8910648822784424,0.009982898374367135,89,728,27
59,23.856998443603516,23.753068923950195,30.849082946777344,8.148274421691895,22.700807571411133,0.0033689734995427335,1.0,0.7358665466308594,0.009982598316806437,285,794,30
60,21.733203887939453,21.64386749267578,26.517127990722656,3.166224241256714,23.350902557373047,0.0033689734995427335,1.0,0.8805969953536987,0.009982298258243608,256,1888,93
61,29.334918975830078,29.239871978759766,28.212310791015625,2.1040310859680176,26.108280181884766,0.0033689734995427335,1.0,0.9254215359687805,0.009981998198678612,115,1427,32
62,25.32094955444336,25.218523025512695,30.40267562866211,2.937335252761841,27.46533966064453,0.0033689734995427335,0.75,0.9033856391906738,0.009981698138111412,117,1094,44
63,29.491546630859375,29.38663673400879,31.14014434814453,2.3035175800323486,28.836627960205078,0.0033689734995427335,0.75,0.9260274171829224,0.009981398076541968,54,676,12
64,26.041515350341797,25.94138526916504,29.721477508544922,3.325122356414795,26.39635467529297,0.0033689734995427335,1.0,0.8881239295005798,0.009981098013970248,195,1548,35
65,25.198389053344727,25.083826065063477,34.00544738769531,1.42904531955719,32.57640075683594,0.0033689734995427335,0.75,0.9579759836196899,0.009980797950396213,49,1117,10
66,28.467655181884766,28.37075424194336,28.76297378540039,1.523675799369812,27.23929786682129,0.0033689734995427335,1.0,0.9470264911651611,0.009980497885819825,106,1895,11
