epoch,loss_lb,loss_ub,Precision_stu,Recall_stu,mAP50_stu,mAP50-95_stu,Precision_tea,Recall_tea,mAP50_tea,mAP50-95_tea,best_mAP50,best_mAP50_stu
0,15.486601257324219,16.830417537689208,0.48470891884141093,0.468554858182734,0.3810743360613409,0.14646233527421898,0.4830968834244601,0.454518803315788,0.37119787508578633,0.14098213423501438,0.37119787508578633,0.3810743360613409
1,14.600993251800537,16.432024431228637,0.5019027954023063,0.45655942099091296,0.38381609393972504,0.14880946018463947,0.5000912432731972,0.459686206497674,0.38314668656583284,0.14757814536929953,0.38314668656583284,0.38381609393972504
2,14.6018235206604,15.673105764389039,0.48282064124286606,0.4796763323672216,0.38711426806129784,0.15106957771151508,0.5032192432800444,0.4650032585709043,0.38802807262018124,0.1512656482728259,0.38802807262018124,0.38711426806129784
3,14.569884872436523,15.655946683883666,0.5220750645056127,0.45651203217532055,0.3977343364964918,0.1573459882648348,0.5009478854844345,0.46936714157944565,0.3909633004826282,0.15440732872822416,0.3909633004826282,0.3977343364964918
4,14.267923545837402,15.327511024475097,0.5044507602936146,0.4724977694226061,0.3983460661749556,0.15749888285378005,0.5057298945883731,0.46896666227157313,0.3955691228630329,0.15649124048857319,0.3955691228630329,0.3983460661749556
5,14.41503939628601,15.007130908966065,0.5218098975582339,0.45619736504703423,0.40063928525679815,0.16097499252542086,0.4944835078674443,0.4765610738696588,0.397886758665404,0.15837640707823436,0.397886758665404,0.40063928525679815
6,13.882962369918824,15.294241333007813,0.49573044896541874,0.46753893095685506,0.3946730762049993,0.15971527754803586,0.5000330095580662,0.4684344649755533,0.39596500270988877,0.15952902389317708,0.397886758665404,0.40063928525679815
7,14.237373781204223,14.78481822013855,0.4864020757911891,0.4855127739484738,0.39934208957972106,0.16103504847170538,0.5040775032582935,0.4651503459046491,0.39581366544071744,0.15991355115024,0.397886758665404,0.40063928525679815
8,14.341765594482421,15.220395421981811,0.5071998754197795,0.46869169928608045,0.4003386483270117,0.16482320820686813,0.5076372170766642,0.46401038536342165,0.39607925826967194,0.16092523848241497,0.397886758665404,0.40063928525679815
9,14.092204332351685,15.284711408615113,0.4867235136865533,0.48412602755534917,0.3974765183414644,0.16208955770392314,0.4871737711150045,0.4814942967594139,0.3969851686971214,0.16090996464625767,0.397886758665404,0.40063928525679815
10,13.633008003234863,15.17446789741516,0.5079169683877123,0.47438617664878696,0.4035546821520898,0.16469053709316359,0.5039617000114576,0.4717877461016464,0.39875337424048274,0.16217801712979676,0.39875337424048274,0.4035546821520898
11,13.642235279083252,14.841434288024903,0.49190537905582565,0.47400875135931075,0.39341747104435193,0.16176907292372927,0.501439110399456,0.4732731124623552,0.39749817916756597,0.16233934445260573,0.39875337424048274,0.4035546821520898
12,13.802697658538818,14.513642311096191,0.4839970783532537,0.48026232237283284,0.39405924557289407,0.1609186579643835,0.48713003963712953,0.4844816796052289,0.397929238841771,0.16276420668142022,0.39875337424048274,0.4035546821520898
13,13.957947397232056,14.530244874954224,0.48398287358137443,0.47988745864095617,0.3925876703287946,0.1604945348433292,0.4861799201253728,0.4817669004155386,0.39501206658417964,0.16138877847553226,0.39875337424048274,0.4035546821520898
14,13.486094999313355,14.131429386138915,0.4864532752879016,0.48175665418514024,0.3944184884581334,0.16077684195007852,0.47409575973935614,0.49259676149013626,0.3927791839153861,0.1599739648680038,0.39875337424048274,0.4035546821520898
15,13.695366096496581,14.233666324615479,0.48144713541694395,0.4751282194397415,0.38604448604260766,0.1580791655534804,0.4756422189128816,0.489092550693899,0.3907889197836908,0.15904574352487955,0.39875337424048274,0.4035546821520898
16,13.533379220962525,13.760739707946778,0.4679592170920749,0.4878170298281249,0.3830320227985813,0.15850994755677422,0.4752502581011655,0.48080348512045123,0.3863890147428175,0.1581404086505621,0.39875337424048274,0.4035546821520898
17,13.495980596542358,13.887771940231323,0.4628804612815138,0.48850399913068826,0.38384407648206803,0.1581739491029845,0.46979239916719,0.47968785937641983,0.38035370204710817,0.15637760051159527,0.39875337424048274,0.4035546821520898
18,13.788542222976684,13.77697491645813,0.4708154114462102,0.4797544598740091,0.37881485187423847,0.15671930194816489,0.47349217612618744,0.4703433646625309,0.37676625240775374,0.15569252377079024,0.39875337424048274,0.4035546821520898
19,13.400555324554443,14.646490669250488,0.45985975386642874,0.4721165017967304,0.3688266700916593,0.1528612162912283,0.4736375770965663,0.46484208267036176,0.3726499075023099,0.15414737671375617,0.39875337424048274,0.4035546821520898
20,13.343984460830688,13.983211088180543,0.4374861295121244,0.49543557399517507,0.3653569171513169,0.15121516975850113,0.4443493929872029,0.48935086355499435,0.36886742090120783,0.15275479570599648,0.39875337424048274,0.4035546821520898
21,13.279590559005737,13.635158681869507,0.4436762225969646,0.4827109018003975,0.3621670594326556,0.15014098667558456,0.4419057731758576,0.48972060417167185,0.36488591536685266,0.15106662557997458,0.39875337424048274,0.4035546821520898
22,13.204604244232177,14.329678869247436,0.44654220780348364,0.4779721550599796,0.35953581799608625,0.14928937821852076,0.4377557199853438,0.48826085338695885,0.36115260479914774,0.14989336202680204,0.39875337424048274,0.4035546821520898
23,13.148741054534913,14.01200475692749,0.4359707140396326,0.47666077238781124,0.34659348430271875,0.14381797338885816,0.43165774035227494,0.49154753401546264,0.35775050008548126,0.14859983191681597,0.39875337424048274,0.4035546821520898
24,13.553598260879516,13.739627170562745,0.4453856862724488,0.4706605933484169,0.3527347578652009,0.14802622165196375,0.4427923231876759,0.47670816120340365,0.35597210917795963,0.1480686287265324,0.39875337424048274,0.4035546821520898
