epoch,loss_lb,loss_ub,Precision_stu,Recall_stu,mAP50_stu,mAP50-95_stu,Precision_tea,Recall_tea,mAP50_tea,mAP50-95_tea,best_mAP50,best_mAP50_stu
0,15.422834014892578,16.540806818008424,0.4453298577248076,0.4401796083297539,0.33630014696298893,0.12877963693834624,0.46181263107290393,0.4141444761628191,0.32991149799700564,0.12436456542051307,0.32991149799700564,0.33630014696298893
1,14.555097818374634,17.321980142593382,0.46329020400958143,0.429590331441286,0.3371013198212239,0.12843648666858887,0.4617165875975586,0.434701380355981,0.34033924699580864,0.13017030898301393,0.34033924699580864,0.3371013198212239
2,14.617860412597656,16.080926656723022,0.44505033401159255,0.43894507238557323,0.3350390894586197,0.12828835943464645,0.45231173864894797,0.44060314165602277,0.3387793225639891,0.1302758443617057,0.34033924699580864,0.3371013198212239
3,14.583590888977051,16.03965058326721,0.4468612108812988,0.44075663288376643,0.33687853198190465,0.12908938521870286,0.4563091102103841,0.4326838166992524,0.33701170902368305,0.1308636090011966,0.34033924699580864,0.3371013198212239
4,14.456224918365479,15.606380939483643,0.43340243131656064,0.4429148799802409,0.32472522009489535,0.1262913729952645,0.4486929040858807,0.4325059906743125,0.332249816390686,0.12884783621342089,0.34033924699580864,0.3371013198212239
5,14.480107927322388,15.314506101608277,0.4459362015674826,0.4335729468239517,0.33487292027710946,0.12977889784802904,0.43847099518280663,0.4412798647281877,0.32936202541286536,0.1277993997667981,0.34033924699580864,0.3371013198212239
6,13.950461530685425,15.539985466003419,0.4376922036985649,0.4318943850927055,0.32749124826857695,0.12755611379159063,0.4391020590161755,0.43742128266087055,0.3289396415869218,0.12879629941509005,0.34033924699580864,0.3371013198212239
7,14.299931144714355,15.070190286636352,0.44114953230467385,0.4420116612887439,0.33581871630793114,0.13222274181714044,0.4376369423831205,0.4386609417202504,0.3313923558262905,0.12917519423080775,0.34033924699580864,0.3371013198212239
8,14.394616651535035,15.146378326416016,0.44720319208628345,0.41998732163807023,0.3287059235881776,0.13147436047500333,0.4465386790146775,0.4306329527937291,0.3330432811625497,0.1304900681441337,0.34033924699580864,0.3371013198212239
9,14.203848171234132,15.554943132400513,0.46694822221643684,0.42202922009199495,0.34315009425935983,0.13686838617239266,0.45224702116035087,0.42805885704378455,0.3351047084092362,0.13212793035139841,0.34033924699580864,0.34315009425935983
10,13.865898418426514,15.186638355255127,0.4381651391191105,0.4426999113701071,0.3409188821216511,0.1375300710144941,0.44311286988477583,0.439055017134124,0.3385837061095993,0.13450501240991547,0.34033924699580864,0.34315009425935983
11,13.784993171691895,15.103079414367675,0.4270817853990643,0.4303323742322405,0.3291441992103275,0.13418563790158936,0.4380047230898983,0.43852153905930435,0.3381509154737906,0.13528507707564497,0.34033924699580864,0.34315009425935983
12,13.906165552139282,14.691101694107056,0.4290060311848848,0.45084188960981003,0.3428225320636938,0.1376807768098491,0.43723217347317545,0.43852538139570374,0.34017111829307123,0.13681605785793957,0.34033924699580864,0.34315009425935983
13,14.22509307861328,14.632156944274902,0.416738644082584,0.4536130230666914,0.3343794806816365,0.13543138116621134,0.43509545195787847,0.4413106034193828,0.3404358648950524,0.1372348566410289,0.3404358648950524,0.34315009425935983
14,13.661675214767456,14.47258620262146,0.42155185714726545,0.455863486236751,0.3427115796577892,0.1384097739779641,0.42549453456309966,0.44683493942994823,0.33980810688440855,0.13749360617276943,0.3404358648950524,0.34315009425935983
15,13.93399682044983,14.392844629287719,0.4149334063127167,0.4587394413269839,0.3401832047834969,0.13822375103027656,0.42602386242112233,0.4488281682894808,0.340628401145357,0.13827587044101936,0.340628401145357,0.34315009425935983
